Grade,Year,Category,Number_Tested,Mean_Scale_Score,Number_Level_1,Percentage_Level_1,Number_Level_2,Percentage_Level_2,Number_Level_3,Percentage_Level_3,Number_Level_4,Percentage_Level_4
3,2013,ELL,12273,282,6307,51.4,4028,32.8,1487,12.1,451,3.7
3,2014,ELL,10539,283,5289,50.2,3220,30.6,1547,14.7,483,4.6
3,2015,ELL,10825,284,5578,51.5,3152,29.1,1373,12.7,722,6.7
4,2013,ELL,10554,278,5697,54,3346,31.7,1157,11,354,3.4
4,2014,ELL,10932,280,5722,52.3,3270,29.9,1329,12.2,611,5.6
4,2015,ELL,10057,279,5240,52.1,3040,30.2,1213,12.1,564,5.6
5,2013,ELL,10633,277,7317,68.8,2235,21,833,7.8,248,2.3
5,2014,ELL,9259,282,5585,60.3,2354,25.4,927,10,393,4.2
5,2015,ELL,9213,282,5543,60.2,2188,23.7,1062,11.5,420,4.6
6,2013,ELL,8434,271,5290,62.7,2385,28.3,490,5.8,269,3.2
6,2014,ELL,9533,274,5756,60.4,2712,28.4,681,7.1,384,4
6,2015,ELL,8502,274,5151,60.6,2349,27.6,626,7.4,376,4.4
7,2013,ELL,8325,270,6283,75.5,1451,17.4,455,5.5,136,1.6
7,2014,ELL,8246,274,5803,70.4,1675,20.3,596,7.2,172,2.1
7,2015,ELL,8457,274,5733,67.8,1866,22.1,635,7.5,223,2.6
8,2013,ELL,9082,275,5620,61.9,2590,28.5,659,7.3,213,2.3
8,2014,ELL,8108,273,5128,63.2,2157,26.6,590,7.3,233,2.9
8,2015,ELL,7784,274,4962,63.7,2017,25.9,534,6.9,271,3.5
All Grades,2013,ELL,59301,276,36514,61.6,16035,27,5081,8.6,1671,2.8
All Grades,2014,ELL,56617,278,33283,58.8,15388,27.2,5670,10,2276,4
All Grades,2015,ELL,54838,278,32207,58.7,14612,26.6,5443,9.9,2576,4.7
3,2013,EP,56148,302,16612,29.6,19371,34.5,12049,21.5,8116,14.5
3,2014,EP,56165,304,15382,27.4,17367,30.9,14012,24.9,9404,16.7
3,2015,EP,55145,305,15145,27.5,17122,31,12602,22.9,10276,18.6
4,2013,EP,56966,303,15826,27.8,19235,33.8,12934,22.7,8971,15.7
4,2014,EP,56774,307,14728,25.9,17292,30.5,12857,22.6,11897,21
4,2015,EP,57466,305,15536,27,17524,30.5,12682,22.1,11724,20.4
5,2013,EP,54835,303,20701,37.8,16006,29.2,11809,21.5,6319,11.5
5,2014,EP,55459,311,16258,29.3,15577,28.1,13445,24.2,10179,18.4
